"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Il1r2",502.668032966801,-0.88566742595028,0.276870224524731,8.15654667317887e-05,0.0106390067578769
"Slc40a1",5.74994032514522,-2.48765270221371,0.872700158202638,0.000248913909892207,0.0215119647156535
"Myo1b",35.9690354178387,-1.05952737908212,0.37327833457562,0.000208832885670885,0.0192276396107566
"Btg2",18.2510211087724,-1.21835171961465,0.391780032022969,0.000100920570275399,0.0118472339455795
"Prg4",12.9753714654706,2.98065560026337,1.47862364586957,0.000600042777415448,0.0417803970512213
"1700025G04Rik",23.7839715580447,-1.51426329692996,0.500808978060971,0.000141163498210352,0.0148424315935319
"Ralgps2",20.214400706137,0.909223359164406,0.370033467480382,0.000665047125078483,0.044611994528479
"Pappa2",7.94097492149075,-0.0813705137511673,0.178133228712166,9.90207645532465e-06,0.00240500950045101
"1600012P17Rik",8.40318827392777,-0.145608345166623,0.308837904339935,8.5018610178423e-08,7.48535725989653e-05
"Mgst3",62.4237177912786,-1.4830936493116,0.474872763398832,0.000100586923609566,0.0118472339455795
"Apoa2",14.6858403881473,-0.0989832002749474,0.199309998596973,6.04002604861089e-05,0.00850858469467816
"Ptges",139.575054541471,1.32842965982536,0.560335302096203,0.000319395290468545,0.0254198952363299
"Ass1",232.806944409739,1.0663475483451,0.297441387557169,1.1055436227547e-05,0.00255308082192549
"Them7",11.4789320721386,2.33487566836865,0.867452661915506,0.000232189149191452,0.0204698844907282
"Pak6",3.06454170357509,-2.27961928787757,0.770651223220382,0.000153921001020613,0.0156411493124136
"Mall",14.0682983978689,-1.76576776891208,0.419040287560848,1.47239252207408e-06,0.000592616955955932
"Ghrh",22.3280643737589,-5.82052510156887,0.932488243250144,3.7952075071401e-11,8.91051469218042e-08
"Jade3",20.9337150657508,-1.54280639198844,0.517270636789803,0.000146484096357545,0.0152853441880647
"Klhl13",49.4312360556439,-2.17161609146745,0.722778569793214,0.000175628011086991,0.0169456972067291
"06-Sep",19.5903658229921,-1.47541394255985,0.587935641283905,0.000508724815300277,0.0375440662091552
"Cul4b",37.3801218285533,-1.41374946423827,0.49026734765615,0.000198943057965891,0.0185596745534139
"Dcaf12l1",4.02074449339392,-0.0810684821153692,0.176380652968593,0.000517923981504233,0.037608222306444
"Zfp36l3",11.2190006957391,-0.107583951083837,0.212757386463277,1.53748862931766e-05,0.00343787338431712
"1600025M17Rik",67.2980426409893,-4.25242194833075,0.938777526468232,5.9530926282841e-07,0.000289176606395304
"Gm648",17.7488676709105,-0.139340834451572,0.283078130251143,2.35686357993927e-05,0.00448664016900062
"4933402E13Rik",4.55693704286283,-0.0582624072100389,0.158422938507202,6.28675915829136e-05,0.0086864820951804
"Gm24598",2.74627872517039,-3.91654941834103,1.26800855140086,5.2936799943909e-05,0.00760939490622291
"Gpr50",5.18131768879015,-2.83868207978553,0.949288306578428,0.000154335185236423,0.0156411493124136
"Xlr5a",11.3629460331287,-3.34753751612448,0.935986806341737,2.25225176127508e-05,0.00440659313348362
"Xlr5b",6.03007299712715,-0.107558008763834,0.211698997528663,1.71464491251768e-05,0.00367031481143463
"Mageb16",8.05460387598467,-0.13553214610771,0.270635843144769,3.11455024457203e-05,0.00569797268432062
"AU015836",3.47145842097709,-0.0685675254036654,0.16557027096892,0.000175569581813842,0.0169456972067291
"Ogt",58.3872176146171,-0.579201681676062,0.233737112909236,0.000774894281886383,0.0493604271470083
"Cited1",20.9603822936413,-2.89168979830132,0.635549335778288,3.82009584974159e-07,0.000210068953880111
"Gm9112",18.2470888365097,-9.73139487211594,3.07289481644838,1.8537725297749e-10,2.90156595854878e-07
"Dmrtc1b",3.40496423406529,-6.71262669579265,2.79180561615393,3.19601397429169e-05,0.00569797268432062
"1700011M02Rik",5.29136098421209,-0.0634476019308781,0.162051094599592,4.38978321445422e-05,0.00702714501613825
"Zmat1",10.1572452865869,-1.6730285852116,0.633284578063603,0.000312910370572097,0.0250452749445973
"Bex1",33.0839056603804,-0.118831033779232,0.233849398600118,7.19601910348977e-06,0.00191264756812944
"Esx1",3.78941563255518,-0.0677985701548206,0.165085597607898,9.01341534547085e-05,0.0113367841046114
"Fgd1",26.8645267037741,-2.3143803968994,0.601805963137341,7.54191899844318e-06,0.0019674632024272
"Car5b",6.07977070232441,-1.88113901711925,0.686198071422951,0.000258710946746766,0.0220311171657364
"Fabp5",318.424550184631,-1.55394581927577,0.463261648770737,4.93195146638216e-05,0.00739110641563037
"Car2",203.564702774937,-2.95295320151096,0.688657404097874,1.88245445714536e-06,0.000701460129080748
"Bglap3",12.3980064919838,-6.94459440667471,1.55051433443801,1.7129556881362e-09,2.19367334352497e-06
"S100a10",975.308742830584,0.708798420125308,0.301775433455553,0.000592176473287013,0.0415024377074336
"Hmgcs2",52.375370531496,6.06804584501206,1.66379523482187,4.97094711698533e-06,0.00148990919227601
"Eif4e",172.425309046776,0.549608121757481,0.176891225838008,0.00010364683940027,0.0118902564164145
"Cyr61",88.8920414236731,-1.82380911079313,0.389168655502722,1.90817077381013e-07,0.000122183644048469
"Esrp1",5.4510792520253,-2.82013901841291,0.86017656647589,5.11206179844389e-05,0.00750141818277908
"Hrct1",13.7626667987158,-2.38222670951593,0.653040057068221,1.71960515052663e-05,0.00367031481143463
"Grhpr",18.0929300961327,-1.71166647716921,0.519102545888413,5.09281173304083e-05,0.00750141818277908
"P3h1",33.2481631885481,0.863013736281267,0.362378179613754,0.000655113722053618,0.0441559186725805
"Ctps",28.0021130274741,0.98253938126161,0.348955837967032,0.000216344763945647,0.0197899265565086
"Epb41",19.8301247651925,-1.03417368826379,0.348093186781521,0.000132047034618207,0.0143417430010421
"Ncmap",6.69054938348745,-3.42112752057806,0.903436714788829,1.04032850197811e-05,0.00244251793456093
"Gale",64.83095109174,-0.965803960179592,0.391211064655588,0.000620827983275152,0.0426614819531565
"Pla2g2f",2.59594182724723,-3.28838487927288,1.29135376303159,0.000259612795450575,0.0220311171657364
