"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Fhl2",30.1873441148272,-1.90036097606725,0.692040486651615,0.000217387824053185,0.0147300168528603
"1500015O10Rik",13.1741081002373,3.61702128724862,1.06135229554889,3.10084636546068e-05,0.00399602228956182
"Slc40a1",12.0806335752599,-2.47111726954664,0.822324394734714,0.000215364464736476,0.0146697205401025
"Cxcr2",27.289066671111,-2.45679063746918,0.624922408672779,4.50645832567995e-06,0.000988518366965253
"Wnt6",19.2968696394229,3.31385191228051,0.755053203815226,5.60640527624239e-07,0.000197235292459123
"Wnt10a",11.2867619460535,2.44480048487954,0.631015181663764,6.06112557170365e-06,0.00122567323670295
"Obsl1",38.2101669994959,-1.5746782334557,0.431701249892469,1.40183903218383e-05,0.00218585551259314
"B3gnt7",17.6791661774674,-2.3184211730346,0.698338234905236,6.18165321676012e-05,0.00645185128478302
"Tmem37",164.672901325765,-1.73637342366028,0.462891085700474,6.62970739323761e-06,0.00130002534974668
"Elf3",23.4955722792914,-2.61037442434329,0.718135828813428,1.63292029161897e-05,0.00251586362073008
"Phlda3",45.0295796096558,1.21014601186528,0.511499091076954,0.000826218344533992,0.0364946000510543
"Prg4",10.7998162561778,3.79149857190786,1.26057201787754,0.000155294010603327,0.0118224416778133
"Glul",242.00844519647,0.85355332444667,0.365183378947097,0.00127026654363595,0.0486384307921198
"Pappa2",18.2662352820719,-7.31318466019734,2.6692772516453,1.67116145631981e-07,8.01043391395964e-05
"1600012P17Rik",20.1469996702696,-4.64053294736867,1.18999886645958,1.78249560565714e-05,0.0026465407142806
"Atp1b1",69.4777108172365,-1.14176917353318,0.436753856730794,0.000393705605690014,0.0215904150374583
"Sdhc",93.8451676304632,0.81721735175712,0.276766113406928,0.000247692643225142,0.0159671469435906
"Kcnk2",12.0243031625833,2.3199970838669,0.995129817576425,0.000778914027502167,0.0351371133402842
"Batf3",10.2048287436457,-3.90773647129411,1.43570492220468,0.000348764865695091,0.0197105453791522
"Nmt2",41.7683137234374,-1.28632849917752,0.531321264907195,0.000599458131464073,0.0292871754665301
"Ptges",79.8064879401893,0.975598939299615,0.405333364463108,0.000902728353128339,0.0385581199544124
"Ass1",205.749991399708,1.00235226125411,0.327254643782834,0.000143409038640846,0.011180721554758
"Rprm",11.8697243134068,3.07111766614244,1.18062032222042,0.000390366760221788,0.0214984111097463
"Dpp4",7.29887437570055,3.35848871957556,1.14043935368692,0.000194686236669972,0.0137123472406956
"Dhrs9",9.65845647124342,-2.06990506551763,0.870984558462647,0.00107968225022164,0.0437772343618341
"Mdk",64.0876391080819,-2.52244582723609,0.61198810965794,1.45228305053999e-06,0.000417676605335303
"Prrg4",8.49698360749447,-2.63506829689389,0.999879400429511,0.000829662208215964,0.0365220690433027
"Them7",9.2096862747142,2.63376269716984,0.965208415112358,0.000249216788951112,0.0159671469435906
"Sqor",87.2031788952916,0.982619558179632,0.417258286066497,0.00100609838501847,0.0418679270061384
"Angpt4",151.10723615914,1.86319049770675,0.560081160178001,4.31140830358854e-05,0.00487292722528006
"Ghrh",40.0423102337769,-5.2078266187402,0.94797069494977,1.22025482637852e-08,9.87033622686925e-06
"Slpi",96.8076284218268,-0.963953090398084,0.406990578865646,0.000875472236838465,0.0376594331309714
"Wfdc2",36.4429589632345,-1.99545058759267,0.761523177188037,0.000274602988081352,0.0169834072121486
"Pltp",36.6240567350297,-1.69135935491911,0.623909091354953,0.0002431229189827,0.0158765590026719
"Klhl13",89.5330137761341,-2.16418908172669,0.764118920637776,0.000124929753233859,0.0101663441808598
"Ube2a",131.157314487586,-0.834911464284539,0.353448621543998,0.00106457188363071,0.0433260670375743
"Ndufa1",363.503324505317,0.726476391633417,0.218117476040573,8.46017094212951e-05,0.00800606117855559
"Gm9",16.4532881148984,-3.45887740539931,1.02538051763049,8.20915691420083e-05,0.00795497839048944
"Rhox5",185.938225908341,-1.94216912722233,0.927267716319505,0.000738723656394109,0.0339027005711084
"Rhox12",54.4970681003249,-2.05554288864029,0.74397369079597,0.000168298590013556,0.0125902910517656
"C430049B03Rik",56.1148259884002,-2.16843761499385,0.623642293050466,1.79074164331549e-05,0.0026465407142806
"Fam122b",24.9229756785891,-2.14103382109906,0.556643509796033,6.90451251152943e-06,0.00133370449140618
"4930502E18Rik",126.658358147213,-0.903618846856492,0.296696197411316,0.000146633203109171,0.011297890271308
"Zfp36l3",29.5611374670129,-3.47705424978616,0.925126892712186,8.93496903267399e-06,0.00165194813172667
"1600025M17Rik",95.0165954068971,-3.76705901679452,0.783800004943974,4.89928594663643e-08,2.88211630551676e-05
"Gm648",28.5801753686729,-3.90421862328888,0.737519160033833,2.39715542731098e-08,1.82494032589757e-05
"Slc9a6",18.1248164227369,-1.44009303810368,0.607050347467716,0.00081197517591964,0.0361119681331683
"4933402E13Rik",9.1681712678176,-5.985960555177,2.50439981814317,6.43961288412097e-06,0.00128217646071221
"Fmr1nb",45.9589014189451,-2.03673486346096,0.784959571358639,0.000270712049532488,0.0169253881403355
"Xlr4a",17.5266022490773,-1.93308876823566,0.80217993779684,0.000637355795273704,0.0303259511118834
"Xlr3a",4.64851937096008,-0.339614060321234,0.931328980367181,0.000440815593394311,0.0234775119741118
"Xlr5a",14.0256881036266,-3.28216597308991,0.975224115509646,9.95317217723285e-05,0.00876285403522093
"Xlr5b",11.9955113017539,-2.23086124897633,0.958248120866088,0.000980811524509112,0.0410798147255564
"Xlr3b",10.3462944160788,-2.32905199369723,1.02312963871885,0.0012602812401255,0.048399287269152
"Xlr4b",16.810604605238,-1.7855778846122,0.722044935567575,0.000626364880641667,0.0299129678423043
"Bgn",62.2519491577465,1.55678510705169,0.380991416364889,2.39358107252646e-06,0.000619554524812749
"Dusp9",230.56992383163,-2.18388693058512,0.861184280968578,0.00025189849881354,0.0159807371159061
"Fthl17a",125.407785638441,-2.52945311011832,0.863847229237749,8.2364943928727e-05,0.00795497839048944
"AU015836",9.2841228843664,-5.94059471888524,2.52406629000318,1.01101451174616e-05,0.00181729858486372
"Fam90a1b",3.90242209044541,-0.21934025200415,0.415616933313469,0.000704244927792813,0.0327158275047369
"Cited1",35.5099400069732,-4.29123719204008,0.764712413570674,3.76787161421944e-09,3.75106111009447e-06
"Gm9112",33.0812718110298,-5.22655750696879,1.08564454394361,6.54392894543146e-07,0.000222872443188879
"Dmrtc1b",7.68121932885073,-5.360958707389,2.46619998348926,4.32998478525117e-05,0.00487292722528006
"1700011M02Rik",11.0675658292651,-6.11852547304797,2.55272304912664,7.10909588518751e-06,0.00135302821979554
"Rlim",113.235047041662,-1.05858458392811,0.313863929415259,4.21928004587238e-05,0.00487292722528006
"Nxf7",40.2319148362845,-1.83207962045994,0.891801078460769,0.000965278516911533,0.0406956058406043
"Bex4",29.6274219661222,-4.58674879592159,0.953916087370965,3.42589653283279e-07,0.000138556102899756
"Bex1",64.9323111235805,-5.20221504345455,0.731565166758003,3.95711610125845e-13,7.31614236892669e-10
"Esx1",7.78359462529216,-5.34437594805265,2.51499943820294,6.77391260940281e-05,0.00684906070241337
"Nrk",419.353875609949,-0.293370948021339,0.646438413445045,0.000676468317379799,0.031720481751918
"Trap1a",130.303451889341,-2.3258256045138,0.836117657461787,0.000131840705753835,0.0105326074930008
"Nup62cl",73.0803329166602,-2.85192677911892,0.671313308253834,7.45854359188821e-07,0.000241321177915543
"Capn6",7.90107699027395,2.23555336003787,1.01561349712164,0.000919269359049089,0.0391354738316227
"Amot",19.6942581570758,-1.64269790683884,0.656985353245502,0.000530195411597922,0.0269541901843891
"Fgd1",50.4472003887565,-2.34143718706479,0.615423984295097,5.28621427163733e-06,0.00110345459844404
"Bclaf3",39.246252646078,-1.30305516349263,0.468139644298443,0.000244122642677462,0.0158765590026719
"Stmn2",15.7201631749732,2.84622747517893,1.14698997032633,0.000478287050033815,0.0247599640061505
"Zbtb10",32.8507700686448,-1.55674117594578,0.522902391224542,0.000126470515617248,0.0101663441808598
"Car2",352.19908831205,-2.75519060554039,0.785340663037363,1.1460907219009e-05,0.00190162899010787
"Gm5844",100.695440768092,-1.03754867537439,0.452234022119619,0.000936264995658587,0.0397283330288965
"Qrfpr",18.1451271621243,2.87070963523426,1.14591505659954,0.000414354377784631,0.0224375496120866
"Noct",88.0488842760229,-2.53868433285832,0.595586164924148,7.16129296287247e-07,0.000237644752629476
"Tm4sf1",38.6089094472597,1.5700335504587,0.497238931575537,7.81906626948215e-05,0.00766623906512409
"Slc33a1",31.1756728460827,1.36516108492386,0.539869183206038,0.000533168960531882,0.0269541901843891
"Schip1",56.4840921156115,2.24579038031003,0.713659662922035,7.25856086823667e-05,0.00722617651974761
