"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Sox17",14.5386623616141,8.8537583205254e-08,0.00144269104871881,0.961063285762996,0.999993275143934
"Gm6085",2.09804941576093,-3.60513703298415e-07,0.00144269404070176,0.672145148000477,0.999993275143934
"Gm6123",3.48130301705546,3.19455237873824e-07,0.00144269385965378,0.728310996678988,0.999993275143934
"Mrpl15",43.7609369825667,7.11071828216824e-07,0.00144268690955695,0.774108556970664,0.999993275143934
"Lypla1",20.7294092815507,7.47723249087476e-07,0.00144268883882252,0.729221532007463,0.999993275143934
"Tcea1",44.7595595827923,2.32001287934792e-06,0.00144268261283092,0.459392210336673,0.999993275143934
"Gm6104",0.467786623765177,-2.59629973676942e-07,0.00144269499985463,0.47365418117339,0.999993275143934
"Atp6v1h",97.7861732663066,-5.59189673701261e-07,0.0014426779261625,0.871598436399694,0.999993275143934
"Rb1cc1",35.4250988515751,2.28582531671204e-07,0.00144268389558334,0.937462391982122,0.999993275143934
"4732440D04Rik",2.15248575637955,-7.92736321848316e-07,0.00144269360554213,0.442265171796703,0.999993275143934
"Gm2147",0.470989115379684,2.96956593749894e-07,0.00144269490051985,0.421866841926078,0.999993275143934
"Gm37108",6.21718464434666,5.39611210511162e-07,0.00144269274729917,0.679545703363321,0.999993275143934
"Pcmtd1",21.0467940692774,-1.30488908648729e-06,0.00144268829215401,0.561847230313383,0.999993275143934
"Gm26983",0.306225099468128,7.52660712342278e-08,0.00144269498832886,0.847385178949823,0.999993275143934
"Gm38372",0.447857771970798,-6.25014190820141e-08,0.00144269482217855,0.860684236874915,0.999993275143934
"Gm9826",1.38769661736394,-6.6319447116335e-07,0.00144269446889704,0.349003725563664,0.999993275143934
"Rps2-ps2",1.69803829891517,3.22547458381137e-07,0.00144269418091779,0.684368602617585,0.999993275143934
"Gm15452",0.392597214580944,4.41104112466112e-08,0.00144269485142433,0.96884536488745,0.999993275143934
"Gm36964",11.4517332346648,8.38254680332424e-07,0.0014426929831967,0.50568777616807,0.999993275143934
"Gm24276",7.72152288700787,5.54102854976922e-07,0.00144269266794099,0.677480076176491,0.999993275143934
"Rrs1",12.8558063266707,2.60774661738733e-07,0.00144269024369446,0.89078223127111,0.999993275143934
"Adhfe1",0.64000896482943,-4.21670336776535e-08,0.00144269466351952,0.89839694799426,0.999993275143934
"2610203C22Rik",1.5949020336728,-2.53167546539195e-07,0.00144269423982916,0.731108220993089,0.999993275143934
"Gm6161",9.22398485423952,3.80595788614415e-07,0.00144269185085756,0.805593454734168,0.999993275143934
"Mybl1",0.507256631609824,-1.54155738430262e-08,0.00144269477284869,0.95467253331372,0.999993275143934
"Vcpip1",16.0795899544971,3.40268137641501e-06,0.00144268999341153,0.134262246235834,0.999993275143934
"1700034P13Rik",0.428813312507584,-9.19867122846649e-08,0.0014426948771596,0.857790623625935,0.999993275143934
"Sgk3",29.1845610616775,3.87468720530886e-07,0.00144268798139116,0.866103629518123,0.999993275143934
"Mcmdc2",0.991076347745417,-7.09426337661213e-07,0.0014426946244766,0.263117821156561,0.999993275143934
"Snhg6",77.2095276886675,-1.03979743287014e-06,0.00144268728096274,0.661291177675461,0.999993275143934
"Cops5",69.3668460294217,3.61292729364825e-07,0.0014426792515563,0.916887751933665,0.999993275143934
"Cspp1",32.7604238442947,3.27397888267874e-07,0.00144268833354085,0.884475031152556,0.999993275143934
"Arfgef1",75.6690536812666,1.81537982429932e-06,0.00144268294490543,0.551182863883039,0.999993275143934
"Gm37569",0.672113792388158,5.06302140662439e-08,0.00144269458339415,0.951834426533312,0.999993275143934
"Cpa6",4.31971380510431,5.26846180657602e-07,0.00144269439596637,0.459110755551245,0.999993275143934
"Gm38005",0.374656448381134,3.52047641991593e-08,0.00144269493911161,0.932018509974473,0.999993275143934
"Gm15604",0.880392766182298,-3.72368987345367e-07,0.00144269464177717,0.489729324509437,0.999993275143934
"Gm28659",15.3824188238134,-1.04185080181009e-06,0.0014426914671201,0.521384884628028,0.999993275143934
"Prex2",10.0143302114092,9.54644505763561e-07,0.00144268941042549,0.642898490851939,0.999993275143934
"A830018L16Rik",0.295058764805613,-1.13321616264167e-07,0.00144269497147381,0.681075982662082,0.999993275143934
"Gm7560",0.320277407256848,1.62667153180896e-07,0.00144269496218546,0.838789489004871,0.999993275143934
"Gm2383",0.785717856623084,1.98629145865203e-07,0.00144269454440082,0.768265359377096,0.999993275143934
"Sulf1",16.7642859748464,-4.20891207609237e-07,0.00144269347636085,0.691401856148253,0.999993275143934
"Slco5a1",96.9861637898911,1.72592031687021e-06,0.00144268980396911,0.400854224227778,0.999993275143934
"Prdm14",0.746219942459192,-1.72846071419127e-08,0.00144269469115908,0.909068084782072,0.999993275143934
"Ncoa2",11.5616764969955,-9.22150564535396e-07,0.00144268911074058,0.660192639619317,0.999993275143934
"Gm38376",1.31059586280006,3.45554052563844e-07,0.00144269430221853,0.628117237861735,0.999993275143934
"Gm37409",0.515425430024428,2.59662902673717e-07,0.00144269476781793,0.653561781488441,0.999993275143934
"Gm38223",0.341264192090329,-1.06976919193333e-07,0.00144269487268032,0.71046373345002,0.999993275143934
"Gm38120",0.623806997425163,-2.23061949811709e-07,0.00144269464067702,0.680050764482915,0.999993275143934
"Gm38380",1.68881108125698,-5.9820865476104e-07,0.0014426939351196,0.51337400985435,0.999993275143934
"Tram1",67.932525658344,8.90476576124608e-07,0.00144268934387,0.667353063778364,0.999993275143934
"Lactb2",12.404100290947,3.220447948552e-07,0.00144268947250069,0.87444382758886,0.999993275143934
"Gm5523",0.684865882110725,8.68671939412467e-08,0.00144269461299693,0.885840301738338,0.999993275143934
"Smt3h2-ps4",1.33446880615272,-4.96884701474517e-07,0.00144269406359682,0.567727584067286,0.999993275143934
"Rpl5-ps1",12.214352405439,-9.36237182630193e-07,0.00144269007131365,0.617401985720289,0.999993275143934
