"CNTF1_10.5"	"CNTM1_10.5"	"CNTM2_10.5"	"CNTF2_10.5"	"CNTM3_10.5"	"CNTF3_10.5"	"CNTM4_10.5"	"DHTF1_10.5"	"DHTF2_10.5"	"DHTM1_10.5"	"DHTF3_10.5"	"DHTM2_10.5"	"DHTF4_10.5"	"DHTM3_10.5"	"DHTF5_10.5"	"DHTF6_10.5"	"DHTF7_10.5"	"DHTF8_10.5"	"FLUF1_10.5"	"FLUM1_10.5"	"FLUF2_10.5"	"FLUF3_10.5"	"genes"	"gene_group"
"Myo1b"	6.17925493917216	6.1671501300449	5.82242684058165	6.01459571790135	6.0342810326055	5.11933513481066	5.97528912920171	4.6915562172969	4.13578844611598	4.32117487787646	5.06061032751118	4.5571544105701	4.57635363643508	5.5967904271241	4.54558441021156	4.85136097485072	4.35463988092623	4.5109959896032	5.94769991606822	5.9417631048432	6.04254023927929	4.85081317129086	"Myo1b"	"DEGs of placenta with female fetus"
"Btg2"	5.48842504955069	5.0468603359176	5.06291576803525	4.85829637277121	4.81068618058421	4.57214132097349	5.22571781850311	2.57726663190761	3.97608574546407	3.47609205972265	4.19713325566325	4.2901189866429	3.9247874163941	5.04707686424502	3.25031390670732	3.41858814830099	3.85513072824809	3.31856157991009	4.23052045370444	4.97583011652095	4.5763697685472	5.03312328963105	"Btg2"	"DEGs of placenta with female fetus"
"1700025G04Rik"	6.16800816936559	6.00605850950353	5.41586263336008	5.1955221350002	5.85562414243408	4.62244108143474	5.61687875951345	3.99133925464476	3.97608574546407	1.82046142968812	3.65097046772338	5.14876071534069	4.37187206156565	3.42731439039713	3.54159648132414	2.81927871689669	3.31917292768361	4.03462206534051	5.40831456957418	5.6229488815341	5.68050598717492	3.8683141248192	"1700025G04Rik"	"DEGs of placenta with female fetus"
"Mgst3"	7.00832181263387	7.13126560956993	6.78962610194321	6.85264050960264	6.47790165310317	5.66662175037841	6.11828979910562	4.94525531867157	5.24193249090254	4.32117487787646	4.90228981700632	5.14876071534069	4.988185274603	5.96196807786011	4.89436083752512	3.57344358616819	5.05231298724516	5.10190215492036	6.57052650418345	7.0774650559859	7.79016020174511	5.61290404390049	"Mgst3"	"DEGs of placenta with female fetus"
"Ptges"	5.39504681896399	5.0832155465463	6.17051080225617	6.36584980073653	5.34184848448797	6.16781823794597	6.16297135046211	7.69470805025424	8.49761910005897	6.95185772261533	7.10254428257119	7.04737474171288	7.05122005826002	6.81401186183264	7.7762060557107	7.76738849173418	6.78486867359203	7.86487708095704	5.45776874952256	5.38476575399531	4.46132435702253	6.84569554297871	"Ptges"	"DEGs of placenta with female fetus"
"Pak6"	3.15027805922228	2.5996858806484	2.49373489240327	3.11071281187816	2.55035197254849	2.95454970007885	1.96848113679654	0	1.15580149117805	1.18012922443844	1.72785884775726	0	0.838491783415756	2.71718823846573	1.64567020855345	1.14510278702269	0	1.19054192685384	2.44441065240673	3.16489054503911	2.47806476599077	2.0837585928359	"Pak6"	"DEGs of placenta with female fetus"
"Mall"	4.68707564170563	4.15961474592384	4.99468284558903	4.72575801826069	3.96100418562919	5.25306052800136	3.89136129341249	0	2.95502332071322	2.26240675230338	3.51167214242775	3.36203904359001	3.27351253247507	3.22710169594158	3.54159648132414	2.81927871689669	2.95153010172108	3.31856157991009	3.84087584340267	3.95708479130019	3.78661610965083	4.85081317129086	"Mall"	"DEGs of placenta with female fetus"
"Jade3"	5.69058473018088	5.92825104055841	5.46712262557938	4.72575801826069	5.10057549807921	4.67104605687685	5.22571781850311	4.38351878522403	3.26251809034688	3.77185466271214	1.72785884775726	3.36203904359001	2.86897080842639	4.70551060872283	3.66779278421507	3.84074596263878	2.95153010172108	3.78908716079134	5.48187431783601	5.23120323417525	5.75567152748923	4.25844126714324	"Jade3"	"DEGs of placenta with female fetus"
"06-Sep"	5.1654885980399	5.28398092755873	5.36271402694238	5.09163222621887	4.0841705870378	4.85057850921487	5.19735808788019	4.20071435875084	1.50696800685052	2.26240675230338	3.18479679906236	3.83389180857565	2.30477352489903	4.85197372105361	3.66779278421507	3.04783730124734	3.85513072824809	3.64863357852559	5.76331569511735	5.11892316591452	5.3332400180844	3.93093103986215	"06-Sep"	"DEGs of placenta with female fetus"
"Cul4b"	6.31800345917643	6.38667169572471	5.82242684058165	5.76730121627926	5.80279870453678	5.59285436574138	5.85335690450154	4.94525531867157	4.08449370692666	4.64693702399692	4.1032046946107	4.1888651884752	3.27351253247507	5.79090284382834	4.47828056273558	4.72486831257509	3.42348820904769	4.80374764085547	6.22979058172991	6.23898356448536	6.65332682157847	4.60416223344652	"Cul4b"	"DEGs of placenta with female fetus"
"Gm24598"	3.40142114536682	1.42609409703018	2.49373489240327	2.60693058931128	1.62382106513146	2.12959602362445	1.67136998139117	0	0.690676648191743	0	0	0	0	1.25940800296492	1.04576858541415	0	0	0	3.19307144817358	3.23838825558189	3.34241138893587	1.55751353475981	"Gm24598"	"DEGs of placenta with female fetus"
"Gpr50"	4.0173696780322	3.77123757637156	3.89695238688524	3.48338031787441	3.75396954945962	2.95454970007885	3.81874983778277	0	0.690676648191743	1.18012922443844	0	0	0	2.71718823846573	2.39447671048642	1.77536149038931	0	1.19054192685384	3.50678926759329	4.30376324433673	4.33630362442697	2.0837585928359	"Gpr50"	"DEGs of placenta with female fetus"
"Zmat1"	4.71825203424163	4.08985658217078	4.76818098872766	4.72575801826069	3.75396954945962	2.78824955365902	4.91339632995959	3.74633399718559	2.22781564738343	3.30185027749791	1.72785884775726	2.31555740611604	2.05405628418552	1.92141718217169	3.07916666513159	1.77536149038931	2.24551098364953	2.27713787278049	4.34007375410968	4.23360221944144	4.40016781940292	3.33191797664982	"Zmat1"	"DEGs of placenta with female fetus"
"Car5b"	3.54744162081371	3.36169841456008	2.84327151574431	4.23436462290487	3.10996915117113	3.67985417274167	2.77127662114297	0	1.15580149117805	0	2.15980283673961	3.36203904359001	2.51830313974079	1.25940800296492	0	0	2.8047310726725	2.27713787278049	3.50678926759329	3.91287212291149	3.34241138893587	3.02254959593717	"Car5b"	"DEGs of placenta with female fetus"
"Fabp5"	9.09945180884823	9.23072477181801	9.00896061840559	9.51512989211788	8.71478231656194	8.86430073932234	7.98727100293194	8.4665194878476	6.93033462203229	8.52407743583149	6.29395918953493	7.57452956417844	6.33281813668811	8.10650037757139	7.87109224023733	7.67632362394198	6.28699639216646	7.6877713479868	8.83886305413607	8.76506046461116	9.26754367788218	8.47575592616261	"Fabp5"	"DEGs of placenta with female fetus"
"Epb41"	5.14268846304111	4.84992446393628	3.89695238688524	4.97967652035427	4.57899447830352	4.76360316438742	5.1087722733649	4.20071435875084	3.66297640689474	3.63153930195064	3.89473544774117	4.07996498719697	3.68062778462703	4.54248080097277	4.25519253875929	3.41858814830099	3.77852097421248	3.64863357852559	4.58229513566149	5.09932991084911	5.3332400180844	4.48401380780945	"Epb41"	"DEGs of placenta with female fetus"
"Pla2g2f"	2.95471746496472	2.78767012020991	1.34716328448341	2.60693058931128	2.16022220432844	1.42651953272242	1.96848113679654	0	0	0	0	0	0	0	1.04576858541415	1.14510278702269	0	0	3.30539639438881	3.00560840752769	3.20612632128181	2.28892610478908	"Pla2g2f"	"DEGs of placenta with female fetus"
"Tnfrsf9"	9.18423269936996	9.30956021433449	9.13317653962649	9.60748837876037	9.20330969177929	9.20688527855082	8.73845704551228	6.71876792010839	6.59679049396882	4.01717799235969	8.18013203801704	8.60061556253917	8.04146129032311	8.0161695134754	7.00827070031057	5.07526347081454	8.13394037774823	7.44395404778406	8.98306398293148	8.95281383146647	9.32008036719547	7.88756552214282	"Tnfrsf9"	"DEGs of placenta with female fetus"
"Tec"	4.20513704456804	4.22615491648853	3.56179016639718	4.02469072777513	4.25120039507931	4.40977758157945	3.74228923180234	3.07931299327145	3.06496633438475	3.30185027749791	3.18479679906236	2.93167346184491	3.27351253247507	2.99455697166917	2.66045622030928	3.41858814830099	2.24551098364953	2.61577844589409	2.93820085798517	3.61469291183216	3.46692610425351	2.4685161823893	"Tec"	"DEGs of placenta with female fetus"
"Tmem119"	6.1452481340189	5.71311989792673	6.37222149365827	7.44402182198184	6.29873799085617	6.72320942677272	5.77875628088274	0	3.59128761906966	2.60024189668681	3.89473544774117	5.89101941145459	4.19691819353815	4.54248080097277	3.78383281038875	2.81927871689669	4.59697760122223	3.64863357852559	5.10109298342169	5.30147822510992	4.96217297691126	5.49351232144367	"Tmem119"	"DEGs of placenta with female fetus"
"Auts2"	2.95471746496472	3.67922951715367	3.12442238728103	4.02469072777513	3.75396954945962	2.95454970007885	3.48509908552839	4.6915562172969	4.71015370429248	4.01717799235969	4.95701663423951	4.91512774944708	4.623246091795	4.35865282252498	3.54159648132414	4.16692943932242	5.2064745757138	4.5109959896032	3.76432408318053	3.91287212291149	3.78661610965083	3.2359819640178	"Auts2"	"DEGs of placenta with female fetus"
"Fscn1"	6.98927832300515	7.1740316287394	6.50077988589936	7.11359288878626	6.93598172359178	6.37272179429697	7.00526747295788	5.79828046055854	4.90013726403578	6.03484312854179	4.84540487214293	4.71115385973992	5.24961407447336	6.68313730002433	5.94660351980492	6.20353657666768	5.26380452364709	5.93715784863002	7.65590252578897	7.48857499911318	7.11955517977062	6.02534367394577	"Fscn1"	"DEGs of placenta with female fetus"
"D630045J12Rik"	3.68003175486091	3.2381617438329	4.16874257669407	2.60693058931128	4.14202267566055	3.5815724230088	3.74228923180234	3.45103408543405	5.90563668271565	3.89972456319096	5.00974310808625	3.69308642168094	4.95190625635511	4.6262973510369	5.04150482601094	4.16692943932242	5.08449135981483	5.43691778578604	4.17245748145706	4.12151613920124	4.33630362442697	4.48401380780945	"D630045J12Rik"	"DEGs of placenta with female fetus"
"Rarres2"	9.48542040599333	9.43617988692814	9.43299892094124	9.62620107783633	9.30652722274312	9.17774670588894	8.5578431013678	3.74633399718559	6.92305299578906	4.32117487787646	7.830427346279	8.21284038637432	7.78210694587348	6.90072027611578	6.17630711215251	4.06617922264688	7.49081083065742	6.64015259083095	8.80343455625211	8.7272639353316	9.08528503531599	8.13036756838373	"Rarres2"	"DEGs of placenta with female fetus"
"Gkn1"	3.74202060543983	2.38348457975998	2.49373489240327	4.23436462290487	3.59734979487041	4.29040384554218	1.67136998139117	0	0.690676648191743	0	1.10847713584268	3.69308642168094	2.30477352489903	0	0	0	0.806043593868859	1.19054192685384	2.62843251573021	2.3836893880198	2.21946185626613	1.55751353475981	"Gkn1"	"DEGs of placenta with female fetus"
"Krt8-ps"	4.2905866131947	4.51937630572962	3.89695238688524	3.48338031787441	3.82633293287387	3.47610270130867	4.02646226310021	1.80076097969351	1.15580149117805	0	0	0	0	4.35865282252498	2.66045622030928	1.14510278702269	0	1.83380868448704	4.34007375410968	4.04164183379702	4.33630362442697	2.90269172801765	"Krt8-ps"	"DEGs of placenta with female fetus"
"Rinl"	5.04770416496637	4.84992446393628	5.06291576803525	5.46866560621497	5.26582088617379	4.85057850921487	4.14998795592513	2.57726663190761	2.70627927223407	1.18012922443844	3.51167214242775	3.96216848236739	4.42577308667678	3.6030979938865	2.39447671048642	1.14510278702269	4.30087430132856	3.49301664663924	4.75048268226011	4.97583011652095	4.40016781940292	4.60416223344652	"Rinl"	"DEGs of placenta with female fetus"
