gene_id,ANSR-1RRAS43096-V,ANSR-2RRAS43098-V,ASR-1RRAS43095-V,ASR-2RRAS43097-V
NM_001003806,0,0,0,0
NM_001003805,0,0,59,52
NM_001003802,0,0,0,0
NM_001003803,0,0,0,0
NM_001003800,360,550,448,569
NM_001003801,1844,1354,990,1373
NM_001308632,9688,7826,8814,11554
NM_021227,7544,8074,7711,8957
NM_001003809,0,0,0,0
NM_001304464,366,383,519,502
NM_001304465,0,146,1,2
NM_001304466,998,1045,1636,2676
NM_001304467,541,467,262,278
NM_001304460,0,0,0,0
NM_001008781,8,5,13,16
NM_001304462,181,0,5,128
NM_001304463,2537,1875,1979,789
NM_001304468,236,440,573,645
NM_002223,933,368,404,429
NR_003227,686,434,931,978
NR_003226,197,223,175,89
NR_003225,56,46,531,397
NM_001290300,0,0,0,0
NM_001290307,0,0,4,3
NR_003222,0,0,0,0
NR_003221,0,0,0,0
NR_003220,0,0,0,0
NM_001278266,0,2210,0,0
NM_001278267,46,60,47,74
NM_001290309,0,0,0,158
NM_001278265,1470,4,10,9
NM_001278262,10,51,0,0
NM_001278263,0,0,1073,0
NR_003229,0,0,0,0
NM_001278261,8,0,2,5
NM_001355213,0,0,0,0
NM_001102564,474,772,545,592
NM_001469,47733,36295,36239,36031
NM_001466,312,435,201,300
NR_155756,878,895,1367,1034
NM_001464,0,0,0,0
NR_155754,33,188,70,103
NM_001462,0,0,0,0
NM_001463,145,218,140,198
NM_001460,2,8,0,6
NM_001461,263,109,474,483
NM_001276394,0,0,0,0
NM_007102,10,16,8,43
NM_001164246,0,0,608,0
NM_007100,13333,20682,21490,27710
NM_000335,0,0,0,0
NM_007106,599,553,1633,1686
NM_001276392,0,0,0,0
NM_001276393,0,0,2,0
NM_000339,5,5,0,0
NM_000338,0,0,0,0
NM_001317949,37,32,12,8
NM_001317948,0,0,0,0
NR_152763,0,0,0,0
NR_152762,734,878,852,1068
NR_152761,0,33,30,4
NR_152760,5,2,2,1
NM_001350533,118,132,188,0
NM_001350532,2,0,0,0
NM_001350531,62,0,10,113
NM_001350530,0,0,0,0
NM_001350537,63,0,145,0
NM_001350536,102,0,227,0
NR_133005,0,0,0,0
NM_001350534,230,139,172,0
NM_001350539,60,98,84,0
NM_001350538,0,0,0,0
NM_001012967,51,0,67,64
NM_001012965,0,0,0,0
NM_001012964,0,0,0,0
NM_001167911,0,0,0,0
NM_001008784,0,0,0,0
NM_003826,1818,1607,2031,2275
NM_001167912,0,0,0,0
NM_003820,109,224,347,613
NM_003821,353,268,696,1015
NM_003822,800,766,1241,1
NM_001167916,0,0,0,0
NM_003828,343,0,0,0
NM_003829,0,0,172,46
NR_046834,0,2,0,0
NR_046837,2,0,0,0
NR_046836,42,12,8,40
NM_001025780,617,474,1889,2255
NR_046832,0,0,3,0
NM_001253383,53980,75923,64097,90881
NM_005807,56,16,60,79
NR_046839,0,0,0,0
NM_001304461,0,0,0,0
NM_024034,0,9,0,0
NM_015553,0,0,0,0
NM_024036,150,232,143,391
NM_024037,110,115,158,185
NM_001164796,91,132,131,152
NM_024031,2112,1642,1961,2134
NM_001161546,31,31,118,80
NM_024033,34,29,29,73
NM_001008783,0,5,0,0
NM_024038,16003,19309,18829,21620
NM_024039,17,3,4,3
NM_015550,1982,595,1540,22
NR_136592,40,4,9,20
NR_136593,15,15,28,14
NM_001349997,0,0,0,0
NM_001349996,0,0,0,0
NM_001349995,95,0,33,153
NM_001349994,10,43,0,0
NM_001297658,42,28,84,63
NM_001297659,62,22,17,16
NM_001349991,0,1,0,0
NM_001349990,0,0,0,0
NM_001297654,212,61,29,406
NM_001297655,402,305,477,399
NM_001297656,0,0,3,0
NM_001297657,0,0,0,0
NM_001297650,0,0,0,0
NM_001297651,0,0,0,549
NM_001297652,0,0,0,0
NM_001297653,213,83,59,653
NR_138104,0,0,253,49
NR_138103,41,0,0,1
NM_001165928,14,3,0,9
NM_001012337,0,0,0,0
NR_104095,0,0,0,0
NM_182978,5,0,5,620
NM_001011724,0,138,10,413
NM_001011725,706,621,855,686
NR_034069,0,7,0,2
NM_006271,90,169,132,245
NM_001011720,0,0,0,9
NM_006277,0,0,0,0
NM_001011722,0,0,62,1178
NM_006275,13598,10923,18248,22189
NM_001002030,2309,1475,1958,1932
NR_034062,0,0,0,1
NM_006278,0,0,31,0
NM_006279,254,330,478,435
NM_001351660,0,4,0,0
NM_001002035,0,0,0,0
NM_001002036,0,0,0,0
NM_001351663,0,0,0,0
NM_001324080,0,0,0,0
NM_001324081,189,6,159,358
NM_001012339,1899,2671,1805,3230
NM_001324085,0,0,0,0
NM_001324086,179,281,174,441
NM_001324087,2262,2776,459,4508
NM_001324088,1047,2018,346,1006
NM_001324089,0,0,206,688
NR_033194,458,465,819,1144
NM_182973,650,1093,601,1198
NR_031653,0,0,0,0
NR_159403,1490,2736,2252,3525
NR_031651,2,0,0,0
NR_031650,2,1,1,1
NR_031657,0,0,0,0
NR_031656,0,0,0,0
NM_001199659,0,0,3,27
NR_159402,1438,995,1219,1845
NM_032961,0,0,0,7
NM_032960,3166,3026,4674,5463
NR_031659,0,0,0,0
NM_001199654,96,29,173,285
NM_001199653,643,824,611,917
NM_001278264,3,8,0,5
NM_032966,18,14,48,65
NR_155746,0,0,0,0
NR_030527,0,3,2,2
NR_159407,0,0,0,0
NR_030528,0,0,0,0
NM_003176,0,0,0,0
NM_003177,0,0,0,0
NM_003174,45,0,101,3
NM_003175,0,15,15,0
NM_003172,4423,6378,5889,7790
NM_001278260,156,72,125,96
NM_003170,12131,7623,14568,10720
NM_003171,1349,1131,1936,2320
NM_001128846,0,0,0,0
NM_001128847,14861,7971,10235,8963
NM_001128844,11,0,12,0
NR_003228,180,165,312,313
NM_006358,953,1167,1288,1509
NM_001128843,0,0,0,0
NM_003178,3,0,16,5
NM_003179,374,556,889,1010
NM_001282735,0,4,0,2
NM_002889,145,119,31,60
NM_002888,0,0,7,20
NM_001098398,4429,2150,387,2
NM_001329688,73,114,31,93
NM_001257360,4540,5629,3012,5156
NM_001257361,0,0,0,0
NM_002887,5089,5465,6523,7744
NM_002886,523,509,2353,3263
NM_002881,3132,2235,3978,4389
NM_002880,8901,6750,7518,10089
NM_002883,8332,3196,5480,8129
NM_002882,5673,4694,6517,5471
NM_138959,659,322,413,477
NM_001323683,0,0,0,0
NM_001323682,9,0,0,0
NM_001323681,47,137,2,200
NM_001323680,37,58,0,0
NM_001323685,65,207,8,166
NM_001323684,0,0,0,11
NM_001077269,203,200,908,1154
NM_001081559,2016,1534,2280,2271
NM_001355216,0,0,0,0
NM_001081552,0,0,0,0
NM_001081550,2305,1442,1473,1859
NM_001081551,0,0,0,0
NM_001352368,136,0,198,0
NM_001352369,0,0,4,0
NM_001308026,62,64,50,70
NM_001467,500,338,0,1102
NM_001352360,0,0,0,0
NM_001352361,327,655,324,1416
NM_001352362,12,3,2,3
NM_001352363,466,595,779,439
NM_001352364,0,0,0,0
NM_001352365,393,316,823,387
NM_001352366,3,4,0,6
NM_001010895,0,0,7,4
NM_001003788,281,314,207,492
NM_001010897,27,22,24,70
NM_001465,0,0,0,0
NM_001010891,449,0,0,0
NM_001010890,0,0,0,0
NM_001010893,42,20,15,32
NM_001010892,48,12,41,31
NM_001329685,302,392,31,305
NM_001003785,297,148,201,158
NM_001010898,5,0,8,5
NM_001003787,0,0,0,0
NR_155752,0,0,0,0
NM_013237,19567,15623,21483,18033
NR_155751,0,0,0,0
NM_014008,2357,2250,2199,2688
NM_014009,59,49,82,63
NM_014007,539,372,384,1144
NM_014004,20,4,13,8
NM_014005,0,2,0,0
NM_014002,249,207,263,215
NM_014003,10854,7621,9715,11887
NM_014000,4,1211,5,3
NM_014001,534,125,174,725
NM_015351,6,0,40,24
NM_015350,0,162,0,315
NM_015353,1516,1459,1918,2160
NM_015352,8320,6154,6821,8328
NM_015355,2023,1353,1867,2431
NM_015354,8607,3052,5658,5235
NM_001276395,0,0,0,0
NM_015359,2553,23,766,70
NR_027347,4,2,3,4
NM_018584,3308,3299,3339,4207
NR_027342,0,0,0,0
NM_000333,153,163,275,129
NR_027340,0,0,0,0
NR_027341,0,0,0,0
NM_002229,5894,10580,12768,16037
NM_002228,28198,31019,30701,36838
NM_000332,0,0,0,0
NM_001166139,128,136,375,205
NM_007003,0,4,0,0
NM_002221,0,4,0,0
NM_002220,2599,2261,3464,3689
NM_001166136,17,26,9,61
NM_002222,0,0,0,0
NM_002225,1891,1157,1523,1639
NM_002224,642,268,3162,3553
NM_002227,2887,0,1587,1025
NM_002226,401,460,784,1093
NM_001004060,492,561,103,658
NR_131339,0,0,0,0
NR_131338,21,69,83,116
NM_001004065,0,0,0,0
NM_000337,0,0,0,0
NM_001323029,4,23,179,19
NM_001323028,0,0,0,0
NM_001323027,121,0,0,0
NM_013238,948,972,1587,1407
NM_007104,46264,61629,62046,77112
NR_131337,0,0,0,0
NR_131336,147,177,166,205
NM_001323020,5,4,3,0
NR_120611,175,7,20,8
NM_001163560,9,8,5,13
NM_001163561,0,0,0,0
NM_007109,271,105,292,496
NM_018055,52,22,28,40
NM_018054,112,319,732,871
NM_001255988,0,0,0,0
NM_018056,545,27,732,989
NM_018051,229,0,550,668
NM_018050,1564,966,1358,1436
NM_018053,886,622,1309,1461
NM_018052,3171,2261,3280,4052
NM_001255982,0,0,0,0
NM_001255983,0,6,0,0
NM_001255980,192,262,224,306
NM_001255981,0,0,0,0
NM_001255986,0,0,0,0
NM_001255987,0,0,0,0
NM_001255984,0,0,0,0
NM_001255985,0,0,0,0
NR_029379,62,135,160,170
NR_029378,65,48,109,153
NM_001349209,94,0,0,190
NM_001349208,0,0,0,0
NM_001349207,0,0,0,0
NM_001349206,0,0,0,0
NM_001349205,1066,481,647,0
NM_001349204,0,0,0,387
NM_001349203,0,0,0,0
NM_001349202,0,0,0,0
NM_001349201,0,0,0,0
NM_001349200,0,0,0,0
NR_133003,0,0,0,0
NR_120619,26,30,37,42
NR_133002,0,0,0,0
NM_001012969,18,31,0,43
NM_001256187,0,26,44,0
NM_001256186,1,0,0,0
NR_120544,0,0,0,0
NR_133000,0,0,0,0
NR_120542,102,32,61,61
NR_120543,225,0,0,15
NR_120540,6,21,5,22
NR_120541,0,0,0,0
NR_133007,0,0,17,0
NR_039764,0,0,0,0
NR_120548,0,0,0,0
NR_133006,8,0,5,0
NM_001142352,0,0,0,0
NM_001142353,160,110,11,160
NM_001142350,237,8,50,9
NM_001142351,0,0,0,0
NM_001142356,61,39,57,0
NM_001350535,0,105,92,0
NM_001142354,677,477,514,0
NM_001142355,0,0,239,0
NR_133004,0,0,0,0
NM_001267594,457,31,0,22
NM_001321787,0,0,5,0
NR_133009,43,292,6,237
NM_057095,0,0,0,0
NM_001353187,56,0,62,73
NM_014911,772,505,674,902
NM_014912,61,96,135,130
NR_133008,0,0,0,0
NM_014914,426,0,0,0
NM_014915,199,113,177,155
NM_014916,3195,1448,2093,2547
NM_001353180,142,62,20,21
NM_014918,189,226,390,572
NM_001353189,284,223,258,456
NM_001353188,126,218,24,12
NM_001005332,0,0,0,0
NM_001005333,5,5,72,24
NR_136648,0,0,0,0
NR_136649,462,181,269,424
NM_001005336,1429,337,1319,832
NM_001005337,0,0,0,0
NM_001005335,750,155,431,2
NM_176801,317,209,247,274
NR_136643,7,11,4,6
NR_136640,0,0,0,0
NM_001005339,168,382,157,281
NR_136646,0,11,6,0
NR_136647,32,55,20,156
NR_136644,0,0,0,0
NM_176806,1103,949,885,610
NM_003824,637,677,1537,2275
NR_148390,57,54,39,88
NM_003825,3929,2886,4142,4539
NR_033440,0,5,172,0
NM_001002814,418,6,641,1257
NM_001032409,0,0,359,264
NM_001002812,493,0,0,1210
NM_001002810,14,0,21,43
NM_001002811,563,335,0,1715
NM_001171624,143,183,180,162
NM_001171625,76,66,0,0
NM_001171626,432,254,530,835
NM_001171627,0,0,0,0
NM_001330540,109,57,198,43
NM_001206972,0,0,0,0
NM_001171622,100,0,0,0
NM_001171623,0,0,0,1
NM_001167915,0,0,1,0
NM_001171628,507,1223,1997,1962
NM_001171629,0,0,0,0
NM_001206979,429,224,112,96
NM_001206978,0,0,67,0
NM_001008485,0,131,54,222
NM_001288649,0,0,0,0
NM_001288648,0,0,0,0
NM_001167917,0,0,8,0
NM_182932,0,0,0,0
NM_001288643,0,0,0,0
NM_001288642,0,0,0,0
NM_001288640,159,0,69,0
NM_001288647,250,0,0,0
NM_001294328,0,0,0,0
NM_001288645,137,40,391,46
NM_001288644,0,0,0,0
NM_001354609,1030,806,1334,1440
NM_001354608,0,0,0,0
NM_001350989,13,0,317,147
NM_001350982,0,0,0,0
NM_001350983,0,210,327,545
NM_001350980,0,7,0,0
NM_001354602,45,82,71,136
NM_001350986,139,0,98,0
NM_001350987,21,0,0,0
NM_001350984,68,98,92,178
NM_001350985,0,0,82,0
NM_001149,45,33,946,803
NM_001286550,0,0,0,0
NM_004319,0,0,0,0
NM_004318,2933,1269,3055,3017
NM_001286555,176,144,168,263
NM_001286554,216,160,193,164
NM_001286556,0,0,0,0
NM_004313,148,466,235,406
NM_001140,0,13,95,62
NR_148869,5,23,4,0
NM_004310,53,0,0,0
NM_001145,801,1283,2489,2515
NM_004316,2,17,33,24
NM_001147,9,9,12,22
NM_001146,0,188,0,0
NM_001201473,0,236,0,194
NM_001201472,0,0,0,0
NM_001330090,0,0,0,0
NM_001330091,0,0,0,0
NM_001201477,0,0,145,0
NM_001201476,0,0,0,0
NM_001001547,0,0,0,0
NM_001201474,20,119,109,203
NM_001001549,137,4,212,499
NM_001001548,41,22,28,24
NM_001201479,0,0,0,0
NM_001201478,0,0,0,0
NR_147964,0,0,0,0
NM_001364614,854,401,509,550
NM_001364611,246,15,0,0
NM_001364610,1,1,0,0
NM_001364613,0,0,0,8
NM_001364612,0,1,0,8
NM_001320646,13,1004,15,17
NM_001366281,0,0,0,8
NM_001366282,1960,0,0,0
NM_001366283,1698,0,0,0
NM_001320642,8,4,5,1
NM_001320643,1,1,2,30
NM_001320640,240,975,874,684
NM_001320641,14,18,4,33
NM_001366288,2,0,0,0
NM_001366289,13,0,0,0
NM_001320648,13,2450,15,14
NM_182931,980,566,1418,1562
NM_025029,14878,24163,18555,22155
NR_102409,34,89,52,0
NM_001146327,0,0,0,0
NM_001146326,0,0,0,0
NR_102405,0,0,0,0
NR_102404,623,517,799,934
NM_001146322,0,0,0,0
NM_001146321,0,0,0,192
NM_001146320,0,0,0,208
NR_146478,0,0,0,0
NR_146479,0,0,0,0
NR_146476,0,0,0,0
NR_146477,0,0,0,0
NR_146474,0,0,0,0
NR_146475,0,0,0,0
NR_146472,59,129,109,122
NR_146473,0,0,0,0
NR_146470,0,0,0,0
NR_146471,0,0,0,0
NM_024993,28,16,5,0
NM_024991,0,0,0,0
NM_001278473,0,20,0,10
NM_024997,0,0,0,0
NM_024996,2259,1106,1983,1830
NM_007185,9,0,9,17
NM_014482,0,0,0,9
NM_001289114,0,0,4,0
NM_001289115,0,0,0,37
NM_001284348,37,71,0,0
NM_001284349,11,9,9,0
NM_001289110,0,0,0,0
NM_001289111,97,67,96,25
NM_001289112,1,0,0,0
NM_001289113,0,5,0,51
NM_001284342,229,201,438,71
NM_001284343,0,0,0,172
NM_001284340,0,0,0,0
NR_024065,38,46,36,80
NR_024062,0,0,0,0
NR_024063,20,46,130,121
NR_024061,32,80,46,62
NM_001287602,0,0,0,0
NM_001287603,344,134,212,404
NM_001287600,0,22,0,29
NM_001287601,122,134,0,0
NM_198881,123,30,142,44
NM_198880,3010,2377,3564,4040
NM_001287604,0,197,138,0
NM_198882,39,10,0,0
NR_073568,8,8,0,0
NM_198889,74,0,39,0
NR_026830,0,0,0,0
NM_022124,307,47,204,75
NM_024032,123,2,137,1
NM_007129,299,460,1204,1943
NM_001320972,2,10,11,13
NM_145274,143,113,269,219
NM_145276,62,30,105,61
